"scen","country","iso3n","period","cob","sex","agegr","edu3","edu_names3","pop","imm","emi"
"Medium","Austria",40,"2035-2039","EU","Male","20-39","e4","Low",22445,344,77
"Medium","Austria",40,"2035-2039","EU","Male","20-39","e5","Middle",29607,3591,1408
"Medium","Austria",40,"2035-2039","EU","Male","20-39","e6","High",25703,6816,3667
"Medium","Austria",40,"2035-2039","EU","Male","40-64","e4","Low",56855,619,199
"Medium","Austria",40,"2035-2039","EU","Male","40-64","e5","Middle",78533,2025,1406
"Medium","Austria",40,"2035-2039","EU","Male","40-64","e6","High",63682,3949,2992
"Medium","Austria",40,"2035-2039","EU","Male","65+","e4","Low",17164,176,71
"Medium","Austria",40,"2035-2039","EU","Male","65+","e5","Middle",38677,524,654
"Medium","Austria",40,"2035-2039","EU","Male","65+","e6","High",30660,832,924
"Medium","Austria",40,"2035-2039","NAT","Female","0-19","e4","Low",228378,119,38
"Medium","Austria",40,"2035-2039","NAT","Female","0-19","e5","Middle",269568,194,77
"Medium","Austria",40,"2035-2039","NAT","Female","0-19","e6","High",299169,294,134
"Medium","Austria",40,"2035-2039","NAT","Female","20-39","e4","Low",48968,82,11
"Medium","Austria",40,"2035-2039","NAT","Female","20-39","e5","Middle",237329,775,257
"Medium","Austria",40,"2035-2039","NAT","Female","20-39","e6","High",465684,2374,1393
"Medium","Austria",40,"2035-2039","NAT","Female","40-64","e4","Low",90406,219,77
"Medium","Austria",40,"2035-2039","NAT","Female","40-64","e5","Middle",410972,578,362
"Medium","Austria",40,"2035-2039","NAT","Female","40-64","e6","High",524155,1579,1365
"Medium","Austria",40,"2035-2039","NAT","Female","65+","e4","Low",257355,137,94
"Medium","Austria",40,"2035-2039","NAT","Female","65+","e5","Middle",557194,262,268
"Medium","Austria",40,"2035-2039","NAT","Female","65+","e6","High",265688,470,524
"Medium","Austria",40,"2035-2039","NAT","Male","0-19","e4","Low",262918,124,46
"Medium","Austria",40,"2035-2039","NAT","Male","0-19","e5","Middle",266521,215,88
"Medium","Austria",40,"2035-2039","NAT","Male","0-19","e6","High",312052,173,77
"Medium","Austria",40,"2035-2039","NAT","Male","20-39","e4","Low",122514,120,28
"Medium","Austria",40,"2035-2039","NAT","Male","20-39","e5","Middle",338379,865,343
"Medium","Austria",40,"2035-2039","NAT","Male","20-39","e6","High",328200,2107,1142
"Medium","Austria",40,"2035-2039","NAT","Male","40-64","e4","Low",89421,220,71
"Medium","Austria",40,"2035-2039","NAT","Male","40-64","e5","Middle",520850,514,358
"Medium","Austria",40,"2035-2039","NAT","Male","40-64","e6","High",436648,1528,1172
"Medium","Austria",40,"2035-2039","NAT","Male","65+","e4","Low",73229,98,40
"Medium","Austria",40,"2035-2039","NAT","Male","65+","e5","Middle",528579,197,247
"Medium","Austria",40,"2035-2039","NAT","Male","65+","e6","High",298672,457,509
"Medium","Austria",40,"2035-2039","NEU","Female","0-19","e4","Low",14422,10434,2330
"Medium","Austria",40,"2035-2039","NEU","Female","0-19","e5","Middle",4797,9158,3681
"Medium","Austria",40,"2035-2039","NEU","Female","0-19","e6","High",93,6676,2814
"Medium","Austria",40,"2035-2039","NEU","Female","20-39","e4","Low",35760,6429,766
"Medium","Austria",40,"2035-2039","NEU","Female","20-39","e5","Middle",49408,13900,4442
"Medium","Austria",40,"2035-2039","NEU","Female","20-39","e6","High",48881,20223,11736
"Medium","Austria",40,"2035-2039","NEU","Female","40-64","e4","Low",117737,4779,1580
"Medium","Austria",40,"2035-2039","NEU","Female","40-64","e5","Middle",81508,5241,3166
"Medium","Austria",40,"2035-2039","NEU","Female","40-64","e6","High",70824,7368,6228
"Medium","Austria",40,"2035-2039","NEU","Female","65+","e4","Low",83082,1108,743
"Medium","Austria",40,"2035-2039","NEU","Female","65+","e5","Middle",35792,1085,1111
"Medium","Austria",40,"2035-2039","NEU","Female","65+","e6","High",23011,1187,1323
"Medium","Austria",40,"2035-2039","NEU","Male","0-19","e4","Low",15131,10348,2659
"Medium","Austria",40,"2035-2039","NEU","Male","0-19","e5","Middle",4311,9874,3990
"Medium","Austria",40,"2035-2039","NEU","Male","0-19","e6","High",80,4891,1863
"Medium","Austria",40,"2035-2039","NEU","Male","20-39","e4","Low",52531,6237,1350
"Medium","Austria",40,"2035-2039","NEU","Male","20-39","e5","Middle",47546,13313,5182
"Medium","Austria",40,"2035-2039","NEU","Male","20-39","e6","High",42362,20144,10649
"Medium","Austria",40,"2035-2039","NEU","Male","40-64","e4","Low",116193,4346,1419
"Medium","Austria",40,"2035-2039","NEU","Male","40-64","e5","Middle",90280,4915,3310
"Medium","Austria",40,"2035-2039","NEU","Male","40-64","e6","High",63050,7429,5571
"Medium","Austria",40,"2035-2039","NEU","Male","65+","e4","Low",53751,821,329
"Medium","Austria",40,"2035-2039","NEU","Male","65+","e5","Middle",47049,815,1017
"Medium","Austria",40,"2035-2039","NEU","Male","65+","e6","High",22278,1180,1313
"Medium","Austria",40,"2040-2044","EU","Female","0-19","e4","Low",1094,0,0
"Medium","Austria",40,"2040-2044","EU","Female","0-19","e5","Middle",747,0,0
"Medium","Austria",40,"2040-2044","EU","Female","0-19","e6","High",11,0,0
"Medium","Austria",40,"2040-2044","EU","Female","20-39","e4","Low",12450,0,0
"Medium","Austria",40,"2040-2044","EU","Female","20-39","e5","Middle",19671,0,0
"Medium","Austria",40,"2040-2044","EU","Female","20-39","e6","High",29498,0,0
"Medium","Austria",40,"2040-2044","EU","Female","40-64","e4","Low",51407,0,0
"Medium","Austria",40,"2040-2044","EU","Female","40-64","e5","Middle",71986,0,0
"Medium","Austria",40,"2040-2044","EU","Female","40-64","e6","High",83839,0,0
"Medium","Austria",40,"2040-2044","EU","Female","65+","e4","Low",35565,0,0
"Medium","Austria",40,"2040-2044","EU","Female","65+","e5","Middle",58034,0,0
"Medium","Austria",40,"2040-2044","EU","Female","65+","e6","High",43943,0,0
"Medium","Austria",40,"2040-2044","EU","Male","0-19","e4","Low",1081,0,0
"Medium","Austria",40,"2040-2044","EU","Male","0-19","e5","Middle",713,0,0
"Medium","Austria",40,"2040-2044","EU","Male","0-19","e6","High",7,0,0
"Medium","Austria",40,"2040-2044","EU","Male","20-39","e4","Low",17336,0,0
"Medium","Austria",40,"2040-2044","EU","Male","20-39","e5","Middle",22303,0,0
"Medium","Austria",40,"2040-2044","EU","Male","20-39","e6","High",21115,0,0
"Medium","Austria",40,"2040-2044","EU","Male","40-64","e4","Low",54819,0,0
"Medium","Austria",40,"2040-2044","EU","Male","40-64","e5","Middle",75050,0,0
"Medium","Austria",40,"2040-2044","EU","Male","40-64","e6","High",64155,0,0
"Medium","Austria",40,"2040-2044","EU","Male","65+","e4","Low",23704,0,0
"Medium","Austria",40,"2040-2044","EU","Male","65+","e5","Middle",45045,0,0
"Medium","Austria",40,"2040-2044","EU","Male","65+","e6","High",35728,0,0
"Medium","Austria",40,"2040-2044","NAT","Female","0-19","e4","Low",211492,0,0
"Medium","Austria",40,"2040-2044","NAT","Female","0-19","e5","Middle",247997,0,0
"Medium","Austria",40,"2040-2044","NAT","Female","0-19","e6","High",317628,0,0
"Medium","Austria",40,"2040-2044","NAT","Female","20-39","e4","Low",45179,0,0
"Medium","Austria",40,"2040-2044","NAT","Female","20-39","e5","Middle",221153,0,0
"Medium","Austria",40,"2040-2044","NAT","Female","20-39","e6","High",493845,0,0
"Medium","Austria",40,"2040-2044","NAT","Female","40-64","e4","Low",79217,0,0
"Medium","Austria",40,"2040-2044","NAT","Female","40-64","e5","Middle",361038,0,0
"Medium","Austria",40,"2040-2044","NAT","Female","40-64","e6","High",563234,0,0
"Medium","Austria",40,"2040-2044","NAT","Female","65+","e4","Low",219225,0,0
"Medium","Austria",40,"2040-2044","NAT","Female","65+","e5","Middle",573788,0,0
"Medium","Austria",40,"2040-2044","NAT","Female","65+","e6","High",326877,0,0
"Medium","Austria",40,"2040-2044","NAT","Male","0-19","e4","Low",245791,0,0
"Medium","Austria",40,"2040-2044","NAT","Male","0-19","e5","Middle",242626,0,0
"Medium","Austria",40,"2040-2044","NAT","Male","0-19","e6","High",331513,0,0
