"orig","dest","year5","age","sex","education","flow"
"AUT","BGR",2005,"20-39","Female","High",321.520670705502
"AUT","BGR",2005,"20-39","Female","Low",221.236781853533
"AUT","BGR",2005,"20-39","Female","Middle",569.814027035041
"AUT","BGR",2005,"20-39","Male","High",324.734239597022
"AUT","BGR",2005,"20-39","Male","Low",246.569286665148
"AUT","BGR",2005,"20-39","Male","Middle",795.851050746842
"AUT","BGR",2005,"40-64","Female","High",160.964887861333
"AUT","BGR",2005,"40-64","Female","Low",102.5835585002
"AUT","BGR",2005,"40-64","Female","Middle",247.314602514737
"AUT","BGR",2005,"40-64","Male","High",204.593075527718
"AUT","BGR",2005,"40-64","Male","Low",124.050302687601
"AUT","BGR",2005,"40-64","Male","Middle",355.114302439812
"AUT","BGR",2005,"65+","Female","High",9.11438643344185
"AUT","BGR",2005,"65+","Female","Low",11.5182726206085
"AUT","BGR",2005,"65+","Female","Middle",20.7262464960414
"AUT","BGR",2005,"65+","Male","High",12.9771923058368
"AUT","BGR",2005,"65+","Male","Low",13.4592671440601
"AUT","BGR",2005,"65+","Male","Middle",24.7230160759715
"AUT","BGR",2010,"0-19","Female","High",0.0146585285856022
"AUT","BGR",2010,"0-19","Female","Low",207.529252738952
"AUT","BGR",2010,"0-19","Female","Middle",52.3819127929599
"AUT","BGR",2010,"0-19","Male","High",0.0400400695754882
"AUT","BGR",2010,"0-19","Male","Low",255.603988505459
"AUT","BGR",2010,"0-19","Male","Middle",64.6670395797476
"AUT","BGR",2010,"20-39","Female","High",326.348031549396
"AUT","BGR",2010,"20-39","Female","Low",220.888144366347
"AUT","BGR",2010,"20-39","Female","Middle",507.146501341123
"AUT","BGR",2010,"20-39","Male","High",320.234173353674
"AUT","BGR",2010,"20-39","Male","Low",261.857563024381
"AUT","BGR",2010,"20-39","Male","Middle",772.318197257657
"AUT","BGR",2010,"40-64","Female","High",256.238288058847
"AUT","BGR",2010,"40-64","Female","Low",160.679939172349
"AUT","BGR",2010,"40-64","Female","Middle",369.282153203651
"AUT","BGR",2010,"40-64","Male","High",315.005618201392
"AUT","BGR",2010,"40-64","Male","Low",199.470492604567
"AUT","BGR",2010,"40-64","Male","Middle",550.290509279428
"AUT","BGR",2010,"65+","Female","High",25.2150961174834
"AUT","BGR",2010,"65+","Female","Low",24.3863778310483
"AUT","BGR",2010,"65+","Female","Middle",44.8991953717756
"AUT","BGR",2010,"65+","Male","High",32.4847709676265
"AUT","BGR",2010,"65+","Male","Low",27.7920566168862
"AUT","BGR",2010,"65+","Male","Middle",59.9560433618584
"AUT","BGR",2015,"0-19","Female","High",0.0306287475338065
"AUT","BGR",2015,"0-19","Female","Low",504.331649040094
"AUT","BGR",2015,"0-19","Female","Middle",105.712626177934
"AUT","BGR",2015,"0-19","Male","High",0.0322831803816556
"AUT","BGR",2015,"0-19","Male","Low",529.65688803322
"AUT","BGR",2015,"0-19","Male","Middle",118.699589530168
"AUT","BGR",2015,"20-39","Female","High",655.408469749136
"AUT","BGR",2015,"20-39","Female","Low",479.973115939283
"AUT","BGR",2015,"20-39","Female","Middle",885.978598863087
"AUT","BGR",2015,"20-39","Male","High",509.404561093672
"AUT","BGR",2015,"20-39","Male","Low",464.524368220726
"AUT","BGR",2015,"20-39","Male","Middle",1178.83087269429
"AUT","BGR",2015,"40-64","Female","High",438.18748979852
"AUT","BGR",2015,"40-64","Female","Low",325.627975756627
"AUT","BGR",2015,"40-64","Female","Middle",607.075439382848
"AUT","BGR",2015,"40-64","Male","High",446.764515381985
"AUT","BGR",2015,"40-64","Male","Low",363.86842604406
"AUT","BGR",2015,"40-64","Male","Middle",816.525659780884
"AUT","BGR",2015,"65+","Female","High",74.4303962813075
"AUT","BGR",2015,"65+","Female","Low",61.718250658233
"AUT","BGR",2015,"65+","Female","Middle",120.973763194263
"AUT","BGR",2015,"65+","Male","High",70.0729711051631
"AUT","BGR",2015,"65+","Male","Low",59.1933055823771
"AUT","BGR",2015,"65+","Male","Middle",129.480599805211
"AUT","CHE",2000,"0-19","Female","High",0.0050692105550109
"AUT","CHE",2000,"0-19","Female","Low",158.12844992682
"AUT","CHE",2000,"0-19","Female","Middle",32.9047858887051
